dimatrix;nbytes;rtt;worker
300;720000;0.108198;1
300;720000;0.099133;1
300;720000;0.09871;1
300;720000;0.097898;1
300;720000;0.107506;1
300;720000;0.107197;1
300;720000;0.0966;1
300;720000;0.096431;1
300;720000;0.102151;1
300;720000;0.105269;1
300;720000;0.102993;1
300;720000;0.102429;1
300;720000;0.101485;1
300;720000;0.102486;1
300;720000;0.12362;1
300;720000;0.101045;1
300;720000;0.09909;1
300;720000;0.100289;1
300;720000;0.102697;1
300;720000;0.096732;1
300;720000;0.099867;1
300;720000;0.098442;1
300;720000;0.096764;1
300;720000;0.107017;1
300;720000;0.09552;1
300;720000;0.100242;1
300;720000;0.100662;1
300;720000;0.101886;1
300;720000;0.126363;1
300;720000;0.099431;1
300;720000;0.099728;1
300;720000;0.096301;1
300;720000;0.099164;1
300;720000;0.100728;1
300;720000;0.098843;1
300;720000;0.101986;1
300;720000;0.096248;1
300;720000;0.096215;1
300;720000;0.101611;1
300;720000;0.098547;1
300;720000;0.101991;1
300;720000;0.099753;1
300;720000;0.099195;1
300;720000;0.103643;1
300;720000;0.097602;1
300;720000;0.098536;1
300;720000;0.097991;1
300;720000;0.098542;1
300;720000;0.098747;1
300;720000;0.096297;1
300;720000;0.103664;1
300;720000;0.097681;1
300;720000;0.092346;1
300;720000;0.097481;1
300;720000;0.09624;1
300;720000;0.097932;1
300;720000;0.103186;1
300;720000;0.101165;1
300;720000;0.098743;1
300;720000;0.101642;1
300;720000;0.098942;1
300;720000;0.10427;1
300;720000;0.097984;1
300;720000;0.096823;1
300;720000;0.122899;1
300;720000;0.103341;1
300;720000;0.099842;1
300;720000;0.101103;1
300;720000;0.103236;1
300;720000;0.097505;1
300;720000;0.096645;1
300;720000;0.100784;1
300;720000;0.101873;1
300;720000;0.101063;1
300;720000;0.100199;1
300;720000;0.100575;1
300;720000;0.098953;1
300;720000;0.094262;1
300;720000;0.096496;1
300;720000;0.107859;1
300;720000;0.09952;1
300;720000;0.106414;1
300;720000;0.101648;1
300;720000;0.097928;1
300;720000;0.105728;1
300;720000;0.11961;1
300;720000;0.126545;1
300;720000;0.103451;1
300;720000;0.097963;1
300;720000;0.100038;1
300;720000;0.096385;1
300;720000;0.100226;1
300;720000;0.099926;1
300;720000;0.099966;1
300;720000;0.099822;1
300;720000;0.096543;1
300;720000;0.112532;1
300;720000;0.098724;1
300;720000;0.098386;1
300;720000;0.113255;1
300;720000;0.06906;2
300;720000;0.059403;2
300;720000;0.078285;2
300;720000;0.084218;2
300;720000;0.08569;2
300;720000;0.089487;2
300;720000;0.070505;2
300;720000;0.089475;2
300;720000;0.056273;2
300;720000;0.058313;2
300;720000;0.057828;2
300;720000;0.080167;2
300;720000;0.05965;2
300;720000;0.066334;2
300;720000;0.069043;2
300;720000;0.061514;2
300;720000;0.069416;2
300;720000;0.065841;2
300;720000;0.067255;2
300;720000;0.052262;2
300;720000;0.065645;2
300;720000;0.053513;2
300;720000;0.08479;2
300;720000;0.059022;2
300;720000;0.08024;2
300;720000;0.072035;2
300;720000;0.058286;2
300;720000;0.063226;2
300;720000;0.062231;2
300;720000;0.071112;2
300;720000;0.065026;2
300;720000;0.062936;2
300;720000;0.077728;2
300;720000;0.079088;2
300;720000;0.064411;2
300;720000;0.09138;2
300;720000;0.086281;2
300;720000;0.077398;2
300;720000;0.079676;2
300;720000;0.062881;2
300;720000;0.068578;2
300;720000;0.098193;2
300;720000;0.066001;2
300;720000;0.065326;2
300;720000;0.079331;2
300;720000;0.072496;2
300;720000;0.065824;2
300;720000;0.061822;2
300;720000;0.065824;2
300;720000;0.070899;2
300;720000;0.06873;2
300;720000;0.07027;2
300;720000;0.065928;2
300;720000;0.062167;2
300;720000;0.059586;2
300;720000;0.071419;2
300;720000;0.074509;2
300;720000;0.055391;2
300;720000;0.061366;2
300;720000;0.055693;2
300;720000;0.078334;2
300;720000;0.059238;2
300;720000;0.065816;2
300;720000;0.080855;2
300;720000;0.071064;2
300;720000;0.091836;2
300;720000;0.075881;2
300;720000;0.057773;2
300;720000;0.05651;2
300;720000;0.059905;2
300;720000;0.065825;2
